,level_0,index,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
0,6518,11462,67519938,2021/01/01 11:44 AM EST,2021-01-01,2021-01-01 16:44:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-03 16:07:56 UTC,2021-01-03 17:42:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/67519938,https://static.inaturalist.org/photos/109106223/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0686216667,-75.2282783333,,,,,,,open,False,,,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Aves,9184
1,6519,11463,67519942,2021/01/01 11:49 AM EST,2021-01-01,2021-01-01 16:49:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-03 16:07:57 UTC,2021-01-03 16:08:10 UTC,research,CC-BY,https://www.inaturalist.org/observations/67519942,https://static.inaturalist.org/photos/109106254/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0684766667,-75.22793,,,,,,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
2,6520,11464,67519944,2021/01/01 11:52 AM EST,2021-01-01,2021-01-01 16:52:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-03 16:07:57 UTC,2021-01-03 17:47:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/67519944,https://static.inaturalist.org/photos/109106281/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0684683333,-75.2280016667,,,,,,,open,False,,,Hermit Thrush,Catharus guttatus,Hermit Thrush,Aves,12890
3,6522,11466,67519957,2021/01/01 12:11 PM EST,2021-01-01,2021-01-01 17:11:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-03 16:08:01 UTC,2021-01-04 02:18:18 UTC,research,CC-BY,https://www.inaturalist.org/observations/67519957,https://static.inaturalist.org/photos/109106411/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0697666667,-75.2280433167,,,,,,,open,False,,,Song Sparrow,Melospiza melodia,Song Sparrow,Aves,9100
4,6523,11467,67519970,2021/01/01 12:18 PM EST,2021-01-01,2021-01-01 17:18:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-03 16:08:04 UTC,2021-01-04 13:29:20 UTC,research,CC-BY,https://www.inaturalist.org/observations/67519970,https://static.inaturalist.org/photos/109106512/medium.jpg,,,,1,0,False,,"Philadelphia, Pennsylvania, United States",40.0700483333,-75.2291316667,,,,,,,open,False,,,Hermit Thrush,Catharus guttatus,Hermit Thrush,Aves,12890
5,6527,11472,67528719,2021-01-03 11:04:20 AM EST,2021-01-03,2021-01-03 16:04:20 UTC,Eastern Time (US & Canada),521996,brennafarrell,2021-01-03 19:12:19 UTC,2021-01-03 19:56:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67528719,https://static.inaturalist.org/photos/109123594/medium.jpeg,,,,1,0,False,2.0,"Somerton, Philadelphia, PA 19116, USA",40.1185682106,-75.0256857276,62.0,,,,62.0,,open,False,gps,gps,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
6,6541,11506,67724148,2021/01/05 11:28 AM EST,2021-01-05,2021-01-05 16:28:00 UTC,Eastern Time (US & Canada),505286,navin_sasikumar,2021-01-07 22:39:32 UTC,2021-01-07 22:41:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/67724148,https://static.inaturalist.org/photos/109494528/medium.jpg,,,,1,0,False,,"East Falls, Philadelphia, PA 19129, USA",40.0138033,-75.190914,9.0,,,,9.0,,open,False,,,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
7,6549,11516,67803929,Sat Jan 09 2021 10:53:12 GMT-0500 (EST),2021-01-09,2021-01-09 15:53:12 UTC,Eastern Time (US & Canada),2317548,josephrucker,2021-01-09 17:52:01 UTC,2021-01-09 18:03:02 UTC,research,CC-BY,https://www.inaturalist.org/observations/67803929,https://static.inaturalist.org/photos/109644142/medium.jpg,,,,2,0,False,3.0,"Rittenhouse Square, Philadelphia, PA, US",39.9494676898,-75.1722355095,50.0,,,,50.0,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
8,6550,11517,67809538,2021-01-09 10:15:00 AM EST,2021-01-09,2021-01-09 15:15:00 UTC,Eastern Time (US & Canada),589899,robizzy,2021-01-09 19:48:09 UTC,2021-01-09 20:11:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67809538,https://inaturalist-open-data.s3.amazonaws.com/photos/109655205/medium.jpeg,,,"Watching a squirrel wrestle a roll up into a tree, possibly deliberating whether it would wait for the squirrel to finish its hard earned meal.",1,0,False,2.0,"Feltonville, Philadelphia, PA, USA",40.026633969,-75.1132571697,89.0,,,,89.0,,open,False,gps,gps,Aguililla pecho rojo,Buteo lineatus,Red-shouldered Hawk,Aves,5206
9,6551,11519,67819223,Sat Jan 09 2021 13:11:16 GMT-0500 (EST),2021-01-09,2021-01-09 18:11:16 UTC,Eastern Time (US & Canada),2317548,josephrucker,2021-01-09 22:48:11 UTC,2021-01-11 02:59:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/67819223,https://static.inaturalist.org/photos/109672520/medium.jpg,,,Flock of Robins in the tree. I thought this was interesting. Haven't seen a lot of robins in a while. Maybe a migrating flock?,1,0,False,3.0,"W Waverly St, Philadelphia, PA, US",39.9449340022,-75.1625906211,10.0,,,,10.0,,open,False,,,American Robin,Turdus migratorius,American Robin,Aves,12727
