id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2098359,2015-10-06,2015-10-06,,Eastern Time (US & Canada),142840,dwiebe,2015-10-11 22:38:08 UTC,2022-01-24 01:31:24 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2098359,https://inaturalist-open-data.s3.amazonaws.com/photos/2512482/medium.jpg,,"",Bird (type unsure) dead on Guardian Drive. Likely struck overpass between Stellar Chance and Anat Chem Building. Then run over by vehicle. Was flying westbound. ,1,0,false,,"Philadelphia County, US-PA, US",39.948882,-75.197124,25,,,,25,,,false,,,Perching Birds,Passeriformes,Perching Birds,Aves,7251
2098463,2015-06-13,2015-06-13,,Eastern Time (US & Canada),142840,dwiebe,2015-10-11 23:06:47 UTC,2022-01-29 15:54:07 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/2098463,https://inaturalist-open-data.s3.amazonaws.com/photos/2512620/medium.jpg,,"",Hawk on the spire of Irvine Auditorium. I was so happy to see it there. Several years ago I saw hawks on the spire almost every week. I think their nest was on the east face of HUP (Hospital of the University of Pennsylvania). But it was disrupted during building repairs and evidently the hawks moved territory.  ,3,0,false,,"Irvine Auditorium, University of Pennsylvania, 34th and Spruce 19104",39.950922,-75.192982,,,,,,,,false,,,"Hawks, Eagles, and Kites",Accipitridae,"Hawks, Eagles, and Kites",Aves,5067
3096377,2016-05-04,2016-05-04,,Eastern Time (US & Canada),86267,joedurrance,2016-05-04 16:22:43 UTC,2016-10-07 15:23:22 UTC,research,,http://www.inaturalist.org/observations/3096377,http://static.inaturalist.org/photos/3572597/medium.JPG,,"","Yellow-rumped warbler 
Penn's BioPond ",1,0,false,,biopond,39.949326,-75.198243,50,,,,50,,,false,,,Yellow-rumped Warbler,Setophaga coronata,Yellow-rumped Warbler,Aves,145245
3096858,2016-05-04,2016-05-04,,Eastern Time (US & Canada),86267,joedurrance,2016-05-04 18:06:29 UTC,2016-10-07 15:23:08 UTC,research,,http://www.inaturalist.org/observations/3096858,http://static.inaturalist.org/photos/3573191/medium.JPG,,"",Indigo Bunting BioPond ,1,0,false,,biopond,39.949326,-75.198243,50,,,,50,,open,false,,,Indigo Bunting,Passerina cyanea,Indigo Bunting,Aves,10227
3104372,2016-05-05,2016-05-05,,Eastern Time (US & Canada),86267,joedurrance,2016-05-05 18:38:14 UTC,2016-10-07 15:22:57 UTC,research,,http://www.inaturalist.org/observations/3104372,http://static.inaturalist.org/photos/3586571/medium.JPG,,"",Hermit Thrush Penn Biopond,2,0,false,,biopond,39.949326,-75.198243,50,,,,50,,open,false,,,Veery,Catharus fuscescens,Veery,Aves,12901
3104839,2016-05-05,2016-05-05,,Eastern Time (US & Canada),86267,joedurrance,2016-05-05 19:29:47 UTC,2016-10-07 15:23:48 UTC,research,,http://www.inaturalist.org/observations/3104839,http://static.inaturalist.org/photos/3587353/medium.jpg,,"",I am not really sure who this is. At first I thought it was a sparrow - but the color isn't right. Some kind of finch?,1,0,false,,biopond,39.949326,-75.198243,50,,,,50,,open,false,,,House Sparrow,Passer domesticus,House Sparrow,Aves,13858
3217731,2016-05-19,2016-05-19,,Eastern Time (US & Canada),86267,joedurrance,2016-05-19 23:52:31 UTC,2017-02-23 14:52:25 UTC,research,,http://www.inaturalist.org/observations/3217731,http://static.inaturalist.org/photos/3725335/medium.JPG,,"","",1,0,false,,biopond,39.949326,-75.198243,190,,,,190,,open,false,,,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Aves,9721
3225244,2016-05-20,2016-05-20,,Eastern Time (US & Canada),86267,joedurrance,2016-05-20 15:41:48 UTC,2016-11-03 16:22:35 UTC,research,,http://www.inaturalist.org/observations/3225244,http://static.inaturalist.org/photos/3733391/medium.JPG,,"","",1,0,false,,biopond,39.949326,-75.198243,190,,,,190,,open,false,,,Magnolia Warbler,Setophaga magnolia,Magnolia Warbler,Aves,145235
3230226,2016-05-20,2016-05-20,,Eastern Time (US & Canada),86267,joedurrance,2016-05-20 18:32:26 UTC,2016-11-03 16:22:26 UTC,research,,http://www.inaturalist.org/observations/3230226,http://static.inaturalist.org/photos/3738746/medium.JPG,,"",Female American Redstart,1,0,false,,biopond,39.949326,-75.198243,190,,,,190,,open,false,,,American Redstart,Setophaga ruticilla,American Redstart,Aves,10247
3316411,2016-05-20,2016-05-20,,Eastern Time (US & Canada),86267,joedurrance,2016-05-27 19:25:42 UTC,2016-11-03 16:22:13 UTC,research,,http://www.inaturalist.org/observations/3316411,http://static.inaturalist.org/photos/3832449/medium.JPG,,"","Bewick's Wren 
BioPond 
UPenn ",1,0,false,,West Philadelphia ,39.949249,-75.198238,50,,,,50,,,false,,,Carolina Wren,Thryothorus ludovicianus,Carolina Wren,Aves,7513
4484320,Fri Oct 21 2016 11:13:56 GMT-0400 (EDT),2016-10-21,2016-10-21 15:13:56 UTC,Eastern Time (US & Canada),168792,kostihl08,2016-11-02 23:18:08 UTC,2016-11-02 23:30:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4484320,https://inaturalist-open-data.s3.amazonaws.com/photos/5414626/medium.jpg,,,,1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9513576402,-75.191660868,42,,,,42,,open,false,,,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
4487245,2016-05-20,2016-05-20,,Eastern Time (US & Canada),86267,joedurrance,2016-11-03 15:07:19 UTC,2016-11-04 13:33:42 UTC,research,,http://www.inaturalist.org/observations/4487245,http://static.inaturalist.org/photos/5418979/medium.jpeg,,"",Biopond,2,0,false,,biopond,39.949326,-75.198243,190,,,,190,,open,false,,,Scarlet Tanager,Piranga olivacea,Scarlet Tanager,Aves,9921
4767509,2016-12-13 8:05:00 AM EST,2016-12-13,2016-12-13 13:05:00 UTC,Eastern Time (US & Canada),67989,mike191919,2016-12-13 14:10:44 UTC,2017-05-23 16:47:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4767509,https://inaturalist-open-data.s3.amazonaws.com/photos/5804400/medium.jpeg,,"",Trying to get a squirrel by 37th and Samson St.,2,0,false,2,"2-118 South 37th Street Philadelphia, PA 19104",39.954321623,-75.1966457069,86,,,,86,,open,false,gps,gps,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
