plate_no,common_name,file_name,img_file,in_dataset,inaturalist_folder,audubon_image,mosaic,mosaic_img,display_img
plate-77,belted-kingfisher,plate-77-belted-kingfisher.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-77-belted-kingfisher.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/belted-kingfisher,/Users/estene/Documents/GitHub/audubon/inaturalist/belted-kingfisher/plate-77-belted-kingfisher.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/belted-kingfisher.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-1,wild-turkey,plate-1-wild-turkey.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-1-wild-turkey.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/wild-turkey,/Users/estene/Documents/GitHub/audubon/inaturalist/wild-turkey/plate-1-wild-turkey.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/wild-turkey.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-46,barred-owl,plate-46-barred-owl.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-46-barred-owl.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/barred-owl,/Users/estene/Documents/GitHub/audubon/inaturalist/barred-owl/plate-46-barred-owl.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/barred-owl.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-33,american-goldfinch,plate-33-american-goldfinch.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-33-american-goldfinch.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/american-goldfinch,/Users/estene/Documents/GitHub/audubon/inaturalist/american-goldfinch/plate-33-american-goldfinch.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/american-goldfinch.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-25,song-sparrow,plate-25-song-sparrow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-25-song-sparrow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/song-sparrow,/Users/estene/Documents/GitHub/audubon/inaturalist/song-sparrow/plate-25-song-sparrow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/song-sparrow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-85,yellow-throated-warbler,plate-85-yellow-throated-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-85-yellow-throated-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/yellow-throated-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/yellow-throated-warbler/plate-85-yellow-throated-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/yellow-throated-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-59,chestnut-sided-warbler,plate-59-chestnut-sided-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-59-chestnut-sided-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/chestnut-sided-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/chestnut-sided-warbler/plate-59-chestnut-sided-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/chestnut-sided-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-64,swamp-sparrow,plate-64-swamp-sparrow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-64-swamp-sparrow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/swamp-sparrow,/Users/estene/Documents/GitHub/audubon/inaturalist/swamp-sparrow/plate-64-swamp-sparrow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/swamp-sparrow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-27,red-headed-woodpecker,plate-27-red-headed-woodpecker.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-27-red-headed-woodpecker.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/red-headed-woodpecker,/Users/estene/Documents/GitHub/audubon/inaturalist/red-headed-woodpecker/plate-27-red-headed-woodpecker.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/red-headed-woodpecker.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-14,prairie-warbler,plate-14-prairie-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-14-prairie-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/prairie-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/prairie-warbler/plate-14-prairie-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/prairie-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
