plate_no,bird_name,audubon_img,in_dataset,inaturalist_folder,mosaic_img,common_name,count,scientific_name,place_guess,observed_on
plate-77,belted-kingfisher,plates/1-99/plate-77-belted-kingfisher.jpg,Yes,inaturalist/belted-kingfisher,mosaics/belted-kingfisher.jpeg,Belted Kingfisher,16,Megaceryle alcyon,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",2021-09-10
plate-1,wild-turkey,plates/1-99/plate-1-wild-turkey.jpg,Yes,inaturalist/wild-turkey,mosaics/wild-turkey.jpeg,Wild Turkey,21,Meleagris gallopavo,"Midvale Ave, Philadelphia, PA, US",2022-01-15
plate-46,barred-owl,plates/1-99/plate-46-barred-owl.jpg,Yes,inaturalist/barred-owl,mosaics/barred-owl.jpeg,Barred Owl,6,Strix varia,"Pennsylvania, US",2020-05-10
plate-33,american-goldfinch,plates/1-99/plate-33-american-goldfinch.jpg,Yes,inaturalist/american-goldfinch,mosaics/american-goldfinch.jpeg,American Goldfinch,144,Spinus tristis,"Fairmount, Philadelphia, PA 19130, USA",2021-12-12
plate-25,song-sparrow,plates/1-99/plate-25-song-sparrow.jpg,Yes,inaturalist/song-sparrow,mosaics/song-sparrow.jpeg,Song Sparrow,159,Melospiza melodia,"Discovery Center, Philadelphia PA",2022-03-10
plate-85,yellow-throated-warbler,plates/1-99/plate-85-yellow-throated-warbler.jpg,Yes,inaturalist/yellow-throated-warbler,mosaics/yellow-throated-warbler.jpeg,Yellow-throated Warbler,4,Setophaga dominica,"John Heinz National Wildlife Refuge at Tinicum, Philadelphia, PA, US",2019-04-13
plate-59,chestnut-sided-warbler,plates/1-99/plate-59-chestnut-sided-warbler.jpg,Yes,inaturalist/chestnut-sided-warbler,mosaics/chestnut-sided-warbler.jpeg,Chestnut-sided Warbler,19,Setophaga pensylvanica,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",2021-09-10
plate-64,swamp-sparrow,plates/1-99/plate-64-swamp-sparrow.jpg,Yes,inaturalist/swamp-sparrow,mosaics/swamp-sparrow.jpeg,Swamp Sparrow,40,Melospiza georgiana,"Holmesburg, Philadelphia, PA, USA",2021-10-24
plate-27,red-headed-woodpecker,plates/1-99/plate-27-red-headed-woodpecker.jpg,Yes,inaturalist/red-headed-woodpecker,mosaics/red-headed-woodpecker.jpeg,Red-headed Woodpecker,11,Melanerpes erythrocephalus,"Pattison Ave, Philadelphia, PA, US",2021-05-02
plate-14,prairie-warbler,plates/1-99/plate-14-prairie-warbler.jpg,Yes,inaturalist/prairie-warbler,mosaics/prairie-warbler.jpeg,Prairie Warbler,11,Setophaga discolor,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",2021-09-06
plate-40,american-redstart,plates/1-99/plate-40-american-redstart.jpg,Yes,inaturalist/american-redstart,mosaics/american-redstart.jpeg,American Redstart,51,Setophaga ruticilla,"University of Pennsylvania, Philadelphia, PA, US",2021-10-18
plate-2,yellow-billed-cuckoo,plates/1-99/plate-2-yellow-billed-cuckoo.jpg,Yes,inaturalist/yellow-billed-cuckoo,mosaics/yellow-billed-cuckoo.jpeg,Yellow-billed Cuckoo,12,Coccyzus americanus,"Children's Hospital of Philadelphia, Philadelphia, PA, US",2021-06-18
plate-56,red-shouldered-hawk,plates/1-99/plate-56-red-shouldered-hawk.jpg,Yes,inaturalist/red-shouldered-hawk,mosaics/red-shouldered-hawk.jpeg,Red-shouldered Hawk,33,Buteo lineatus,"Somerton, Philadelphia, PA 19116, USA",2021-12-15
plate-61,great-horned-owl,plates/1-99/plate-61-great-horned-owl.jpg,Yes,inaturalist/great-horned-owl,mosaics/great-horned-owl.jpeg,Great Horned Owl,20,Bubo virginianus,"Pennsylvania, US",2022-03-05
plate-58,hermit-thrush,plates/1-99/plate-58-hermit-thrush.jpg,Yes,inaturalist/hermit-thrush,mosaics/hermit-thrush.jpeg,Hermit Thrush,40,Catharus guttatus,"Airport Terminal A, Philadelphia, PA 19153, USA",2021-11-01
plate-34,worm-eating-warbler,plates/1-99/plate-34-worm-eating-warbler.jpg,Yes,inaturalist/worm-eating-warbler,mosaics/worm-eating-warbler.jpeg,Worm-eating Warbler,2,Helmitheros vermivorum,"Pennsylvania, US",2020-05-03
plate-8,white-throated-sparrow,plates/1-99/plate-8-white-throated-sparrow.jpg,Yes,inaturalist/white-throated-sparrow,mosaics/white-throated-sparrow.jpeg,White-throated Sparrow,170,Zonotrichia albicollis,"Schuylkill River Trail, Philadelphia, PA, US",2022-02-21
plate-89,nashville-warbler,plates/1-99/plate-89-nashville-warbler.jpg,Yes,inaturalist/nashville-warbler,mosaics/nashville-warbler.jpeg,Nashville Warbler,8,Leiothlypis ruficapilla,"Constitution Av & Broad St, Philadelphia, PA 19112, USA",2021-05-06
plate-41,ruffed-grouse,plates/1-99/plate-41-ruffed-grouse.jpg,Yes,inaturalist/ruffed-grouse,mosaics/ruffed-grouse.jpeg,Ruffed Grouse,1,Bonasa umbellus,"Wissahickon Valley Park, Philadelphia, PA, US",2021-04-25
plate-83,house-wren,plates/1-99/plate-83-house-wren.jpg,Yes,inaturalist/house-wren,mosaics/house-wren.jpeg,House Wren,63,Troglodytes aedon,"John Heinz National Wildlife Refuge At Tinicum, Philadelphia, Pennsylvania, United States",2021-10-10
plate-12,baltimore-oriole,plates/1-99/plate-12-baltimore-oriole.jpg,Yes,inaturalist/baltimore-oriole,mosaics/baltimore-oriole.jpeg,Baltimore Oriole,59,Icterus galbula,"West Mount Airy, Philadelphia, PA, USA",2021-08-30
plate-51,red-tailed-hawk,plates/1-99/plate-51-red-tailed-hawk.jpg,Yes,inaturalist/red-tailed-hawk,mosaics/red-tailed-hawk.jpeg,Red-tailed Hawk,249,Buteo jamaicensis,"Somerton, Philadelphia, PA 19116, USA",2022-03-05
plate-3,prothonotary-warbler,plates/1-99/plate-3-prothonotary-warbler.jpg,Yes,inaturalist/prothonotary-warbler,mosaics/prothonotary-warbler.jpeg,Prothonotary Warbler,13,Protonotaria citrea,"Eastwick, Philadelphia, PA, USA",2017-06-25
plate-69,bay-breasted-warbler,plates/1-99/plate-69-bay-breasted-warbler.jpg,Yes,inaturalist/bay-breasted-warbler,mosaics/bay-breasted-warbler.jpeg,Bay-breasted Warbler,11,Setophaga castanea,"8601 Lindbergh Blvd., Philadelphia, PA 19153, USA",2021-09-10
plate-22,purple-martin,plates/1-99/plate-22-purple-martin.jpg,Yes,inaturalist/purple-martin,mosaics/purple-martin.jpeg,Purple Martin,3,Progne subis,"Flagship Dr & 11th St, Philadelphia, PA 19112, USA",2021-06-02
plate-4,purple-finch,plates/1-99/plate-4-purple-finch.jpg,Yes,inaturalist/purple-finch,mosaics/purple-finch.jpeg,Purple Finch,4,Haemorhous purpureus,"John Heinz National Wildlife Refuge at Tinicum, Philadelphia, PA, US",2020-10-25
plate-91,broad-winged-hawk,plates/1-99/plate-91-broad-winged-hawk.jpg,Yes,inaturalist/broad-winged-hawk,mosaics/broad-winged-hawk.jpeg,Broad-winged Hawk,6,Buteo platypterus,"5600 City Ave, Philadelphia, PA 19131, USA",2021-09-24
plate-42,orchard-oriole,plates/1-99/plate-42-orchard-oriole.jpg,Yes,inaturalist/orchard-oriole,mosaics/orchard-oriole.jpeg,Orchard Oriole,16,Icterus spurius,"John Heinz National Wildlife Refuge At Tinicum, Philadelphia, Pennsylvania, United States",2021-06-23
plate-32,black-billed-cuckoo,plates/1-99/plate-32-black-billed-cuckoo.jpg,Yes,inaturalist/black-billed-cuckoo,mosaics/black-billed-cuckoo.jpeg,Black-billed Cuckoo,5,Coccyzus erythropthalmus,"Eastwick, Philadelphia, PA, USA",2021-05-01
plate-73,wood-thrush,plates/1-99/plate-73-wood-thrush.jpg,Yes,inaturalist/wood-thrush,mosaics/wood-thrush.jpeg,Wood Thrush,27,Hylocichla mustelina,"Fitzwater St, Philadelphia, PA, US",2021-10-07
plate-110,hooded-warbler,plates/100-199/plate-110-hooded-warbler.jpg,Yes,inaturalist/hooded-warbler,mosaics/hooded-warbler.jpeg,Hooded Warbler,5,Setophaga citrina,"Roxborough, Philadelphia, PA, USA",2021-05-02
plate-163,palm-warbler,plates/100-199/plate-163-palm-warbler.jpg,Yes,inaturalist/palm-warbler,mosaics/palm-warbler.jpeg,Palm Warbler,41,Setophaga palmarum,"John Heinz National Wildlife Refuge At Tinicum, Philadelphia, Pennsylvania, United States",2021-10-10
plate-102,blue-jay,plates/100-199/plate-102-blue-jay.jpg,Yes,inaturalist/blue-jay,mosaics/blue-jay.jpeg,Blue Jay,110,Cyanocitta cristata,"East Falls, Philadelphia, PA 19129, USA",2022-02-01
plate-146,fish-crow,plates/100-199/plate-146-fish-crow.jpg,Yes,inaturalist/fish-crow,mosaics/fish-crow.jpeg,Fish Crow,7,Corvus ossifragus,"Pennsylvania, US",2021-03-10
plate-156,american-crow,plates/100-199/plate-156-american-crow.jpg,Yes,inaturalist/american-crow,mosaics/american-crow.jpeg,American Crow,38,Corvus brachyrhynchos,"Somerton, Philadelphia, PA 19116, USA",2021-10-04
plate-137,yellow-breasted-chat,plates/100-199/plate-137-yellow-breasted-chat.jpg,Yes,inaturalist/yellow-breasted-chat,mosaics/yellow-breasted-chat.jpeg,Yellow-breasted Chat,1,Icteria virens,"12th St & Montgomery Av, Philadelphia, PA 19122, USA",2021-09-03
plate-111,pileated-woodpecker,plates/100-199/plate-111-pileated-woodpecker.jpg,Yes,inaturalist/pileated-woodpecker,mosaics/pileated-woodpecker.jpeg,Pileated Woodpecker,36,Dryocopus pileatus,"Pennypack Park, Philadelphia, PA, US",2022-01-22
plate-119,yellow-throated-vireo,plates/100-199/plate-119-yellow-throated-vireo.jpg,Yes,inaturalist/yellow-throated-vireo,mosaics/yellow-throated-vireo.jpeg,Yellow-throated Vireo,2,Vireo flavifrons,Morris Arboretum of the University of Pennsylvania,2020-09-27
plate-135,blackburnian-warbler,plates/100-199/plate-135-blackburnian-warbler.jpg,Yes,inaturalist/blackburnian-warbler,mosaics/blackburnian-warbler.jpeg,Blackburnian Warbler,9,Setophaga fusca,"Center City West, Philadelphia, PA, USA",2021-09-18
plate-105,red-breasted-nuthatch,plates/100-199/plate-105-red-breasted-nuthatch.jpg,Yes,inaturalist/red-breasted-nuthatch,mosaics/red-breasted-nuthatch.jpeg,Red-breasted Nuthatch,6,Sitta canadensis,"Philadelphia, PA 19122, USA",2021-04-30
plate-129,great-crested-flycatcher,plates/100-199/plate-129-great-crested-flycatcher.jpg,Yes,inaturalist/great-crested-flycatcher,mosaics/great-crested-flycatcher.jpeg,Great Crested Flycatcher,22,Myiarchus crinitus,"Glen Foerd, Philadelphia, PA, US",2021-05-06
plate-122,blue-grosbeak,plates/100-199/plate-122-blue-grosbeak.jpg,Yes,inaturalist/blue-grosbeak,mosaics/blue-grosbeak.jpeg,Blue Grosbeak,3,Passerina caerulea,"FDR Park, Philadelphia, PA, US",2021-08-01
plate-127,rose-breasted-grosbeak,plates/100-199/plate-127-rose-breasted-grosbeak.jpg,Yes,inaturalist/rose-breasted-grosbeak,mosaics/rose-breasted-grosbeak.jpeg,Rose-breasted Grosbeak,20,Pheucticus ludovicianus,"East Falls, Philadelphia, PA, USA",2021-05-14
plate-131,american-robin,plates/100-199/plate-131-american-robin.jpg,Yes,inaturalist/american-robin,mosaics/american-robin.jpeg,American Robin,538,Turdus migratorius,"Houston Playground, Philadelphia, PA, US",2022-03-14
plate-154,tennessee-warbler,plates/100-199/plate-154-tennessee-warbler.jpg,Yes,inaturalist/tennessee-warbler,mosaics/tennessee-warbler.jpeg,Tennessee Warbler,6,Leiothlypis peregrina,"Civic Center Blvd & Osler Cir, Philadelphia, PA 19104, USA",2021-10-20
plate-139,field-sparrow,plates/100-199/plate-139-field-sparrow.jpg,Yes,inaturalist/field-sparrow,mosaics/field-sparrow.jpeg,Field Sparrow,16,Spizella pusilla,"Pennypack On The Delaware, Philadelphia, PA, US",2021-12-31
plate-104,chipping-sparrow,plates/100-199/plate-104-chipping-sparrow.jpg,Yes,inaturalist/chipping-sparrow,mosaics/chipping-sparrow.jpeg,Chipping Sparrow,50,Spizella passerina,"Laurel Hill Cemetery, Philadelphia, PA, US",2021-09-16
plate-112,downy-woodpecker,plates/100-199/plate-112-downy-woodpecker.jpg,Yes,inaturalist/downy-woodpecker,mosaics/downy-woodpecker.jpeg,Downy Woodpecker,150,Dryobates pubescens,"Somerton, Philadelphia, PA 19116, USA",2022-03-15
plate-173,barn-swallow,plates/100-199/plate-173-barn-swallow.jpg,Yes,inaturalist/barn-swallow,mosaics/barn-swallow.jpeg,Barn Swallow,117,Hirundo rustica,"Southwest Philadelphia, Philadelphia, PA, USA",2021-08-11
plate-174,olive-sided-flycatcher,plates/100-199/plate-174-olive-sided-flycatcher.jpg,Yes,inaturalist/olive-sided-flycatcher,mosaics/olive-sided-flycatcher.jpeg,Olive-sided Flycatcher,2,Contopus cooperi,Awbury Arboretum,2020-08-28
plate-100,marsh-wren,plates/100-199/plate-100-marsh-wren.jpg,Yes,inaturalist/marsh-wren,mosaics/marsh-wren.jpeg,Marsh Wren,28,Cistothorus palustris,United States,2021-09-05
