index,common_name,file,license,recordist,XC-number,stable_url,file-name
1,chestnut-sided warbler,https://xeno-canto.org/691306/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,691306,//xeno-canto.org/691306,XC691306-Chestnut-sided Warbler_16May2021_Lancy Brook Brookline NH.mp3
2,chestnut-sided warbler,https://xeno-canto.org/691305/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,691305,//xeno-canto.org/691305,XC691305-Chestnut-sided Warbler_09Jun2021_Lancy Brook Brookline NH.mp3
3,chestnut-sided warbler,https://xeno-canto.org/653036/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ray Cooke,653036,//xeno-canto.org/653036,XC653036-210524-008 CSWA seen  oven afton RdPF N 0840hrs.mp3
4,chestnut-sided warbler,https://xeno-canto.org/653032/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ray Cooke,653032,//xeno-canto.org/653032,XC653032-210524-006 CSWA wtsp aftog rd n f 0821 seen.mp3
5,chestnut-sided warbler,https://xeno-canto.org/649336/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jim Berry,649336,//xeno-canto.org/649336,XC649336-05162021 T0177 Chestnut-sided Warbler WFWMA.mp3
6,chestnut-sided warbler,https://xeno-canto.org/611928/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sue Riffe,611928,//xeno-canto.org/611928,XC611928-Chestnut-sided Warbler at Twin Lakes CO on 5.25.20 at 7.58 for 1.10.mp3
7,chestnut-sided warbler,https://xeno-canto.org/600741/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,600741,//xeno-canto.org/600741,XC600741-Chestnut-sided Warbler_25May2020_Lancy Brook Brookline NH.mp3
8,chestnut-sided warbler,https://xeno-canto.org/600740/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,600740,//xeno-canto.org/600740,XC600740-Chestnut-sided Warbler_23May2020_Lancy Brook Brookline NH.mp3
9,chestnut-sided warbler,https://xeno-canto.org/600739/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,600739,//xeno-canto.org/600739,XC600739-Chestnut-sided Warbler_13Jun2020_Lancy Brook Brookline NH.mp3
10,chestnut-sided warbler,https://xeno-canto.org/600738/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,600738,//xeno-canto.org/600738,XC600738-Chestnut-sided Warbler_03Jun2020_Lancy Brook Brookline NH.mp3
11,chestnut-sided warbler,https://xeno-canto.org/600736/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,600736,//xeno-canto.org/600736,XC600736-Chestnut-sided Warbler_02Jun2020_Hinsdale NH.mp3
12,chestnut-sided warbler,https://xeno-canto.org/570039/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Doug Welch,570039,//xeno-canto.org/570039,XC570039-HNCSW2_20200614_072003_ChestnutSidedWarbler.mp3
13,chestnut-sided warbler,https://xeno-canto.org/568574/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,568574,//xeno-canto.org/568574,XC568574-200614_20. cswa ovbi amreWAV.mp3
14,chestnut-sided warbler,https://xeno-canto.org/568406/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,568406,//xeno-canto.org/568406,XC568406-200606_17.cswa conh ith.mp3
15,chestnut-sided warbler,https://xeno-canto.org/568385/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,568385,//xeno-canto.org/568385,XC568385-200606_06 piwa cswa ovbi.mp3
16,chestnut-sided warbler,https://xeno-canto.org/567903/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,567903,//xeno-canto.org/567903,XC567903-200605_13 cswa coye scta amro revi.mp3
17,chestnut-sided warbler,https://xeno-canto.org/567897/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,567897,//xeno-canto.org/567897,XC567897-200605_01 cswa bhr ith.mp3
18,chestnut-sided warbler,https://xeno-canto.org/566151/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ray Cooke,566151,//xeno-canto.org/566151,XC566151-200529-005 CSWarbler.mp3
19,chestnut-sided warbler,https://xeno-canto.org/566141/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jim Berry,566141,//xeno-canto.org/566141,XC566141-060620 T251 Chestnut-sided Warbler Bone Run.mp3
20,chestnut-sided warbler,https://xeno-canto.org/566130/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ray Cooke,566130,//xeno-canto.org/566130,XC566130-200522-003 CSWa hazelgreen Rd.mp3
21,chestnut-sided warbler,https://xeno-canto.org/563741/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,563741,//xeno-canto.org/563741,XC563741-200530_26 cswa.mp3
22,chestnut-sided warbler,https://xeno-canto.org/563740/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,563740,//xeno-canto.org/563740,XC563740-200530_25 cswa revi.mp3
23,chestnut-sided warbler,https://xeno-canto.org/563737/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,563737,//xeno-canto.org/563737,XC563737-200530_20 cswa.mp3
24,chestnut-sided warbler,https://xeno-canto.org/561404/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,561404,//xeno-canto.org/561404,XC561404-200522_23 cswa woth ovbi.mp3
25,chestnut-sided warbler,https://xeno-canto.org/561397/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,561397,//xeno-canto.org/561397,XC561397-200522_15 cswa sosp.mp3
26,chestnut-sided warbler,https://xeno-canto.org/561396/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,561396,//xeno-canto.org/561396,XC561396-200522_14 cswa coye ovbi sosp.mp3
27,chestnut-sided warbler,https://xeno-canto.org/561395/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,561395,//xeno-canto.org/561395,XC561395-200522_13 cswa coye ovbi.mp3
28,chestnut-sided warbler,https://xeno-canto.org/561373/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,561373,//xeno-canto.org/561373,XC561373-200520_01 cswa sec song sh.mp3
29,chestnut-sided warbler,https://xeno-canto.org/556588/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Caio Brito,556588,//xeno-canto.org/556588,"XC556588-Setophaga pensylvanica - Caio Brito (Asheville-NC)_BRITO,3652.mp3"
30,chestnut-sided warbler,https://xeno-canto.org/486863/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,486863,//xeno-canto.org/486863,XC486863-Chestnut Sided Warbler_08Jun2019_lancy Brook_Brookline_NH.mp3
31,chestnut-sided warbler,https://xeno-canto.org/479501/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,479501,//xeno-canto.org/479501,XC479501-21_190607_33cswa and revi_shindagin Hollow TC.mp3
32,chestnut-sided warbler,https://xeno-canto.org/479484/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Meena Haribal,479484,//xeno-canto.org/479484,XC479484-01_190607_13cswa tuti lefl_shindagin Hollow TC.mp3
