index,common_name,file,license,recordist,XC-number,stable_url,file-name
0,golden-winged warbler,https://xeno-canto.org/570956/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Aaron Pietsch,570956,//xeno-canto.org/570956,XC570956-IMG_6098.mp3
1,golden-winged warbler,https://xeno-canto.org/556959/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Aidan Place,556959,//xeno-canto.org/556959,XC556959-GWWA.mp3
2,golden-winged warbler,https://xeno-canto.org/445079/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,445079,//xeno-canto.org/445079,XC445079-Golden-winged Warbler 10May18.mp3
3,golden-winged warbler,https://xeno-canto.org/415918/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Molly Jacobson,415918,//xeno-canto.org/415918,XC415918-Golden-winged Warbler.mp3
4,golden-winged warbler,https://xeno-canto.org/658548/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Paul Driver,658548,//xeno-canto.org/658548,XC658548-GOLDEN-WINGED WARBLER Sax-Zim Bog MN 7.29am 06192021.mp3
5,golden-winged warbler,https://xeno-canto.org/656695/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Matt Wistrand,656695,//xeno-canto.org/656695,XC656695-GWWA - Song - Weston Rd - 2021-05-29 19_50.mp3
8,golden-winged warbler,https://xeno-canto.org/533403/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Doug Welch,533403,//xeno-canto.org/533403,XC533403-HNCSW2_20190508_052003_GoldenWingedWarbler.mp3
9,golden-winged warbler,https://xeno-canto.org/420578/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Scott Gravette,420578,//xeno-canto.org/420578,XC420578-Golden-winged W.mp3
10,golden-winged warbler,https://xeno-canto.org/418334/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sue Riffe,418334,//xeno-canto.org/418334,XC418334-Golden-winged Warbler on 5.11.18 at Au Sable SF MI at 10.45 for .02 _0902 .mp3
11,golden-winged warbler,https://xeno-canto.org/418333/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sue Riffe,418333,//xeno-canto.org/418333,XC418333-Golden-winged Warbler on 5.11.18 at Au Sable SF MI at 10.35 for .14 _0901.mp3
12,golden-winged warbler,https://xeno-canto.org/416072/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Nick Kiehl,416072,//xeno-canto.org/416072,XC416072-GWWA.mp3
