index,common_name,file,license,recordist,XC-number,stable_url,file-name
2,long-tailed duck,https://xeno-canto.org/617246/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Lars Redetzke,617246,//xeno-canto.org/617246,XC617246-eisente_balz.mp3
3,long-tailed duck,https://xeno-canto.org/552179/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Fabian Schneider,552179,//xeno-canto.org/552179,XC552179-Harelde1.mp3
4,long-tailed duck,https://xeno-canto.org/522562/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jarek Matusiak,522562,//xeno-canto.org/522562,XC522562-AB-194  lodówki super (3).mp3
5,long-tailed duck,https://xeno-canto.org/522505/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jarek Matusiak,522505,//xeno-canto.org/522505,XC522505-AB-194  lodówki super nurkowanie.mp3
6,long-tailed duck,https://xeno-canto.org/522503/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jarek Matusiak,522503,//xeno-canto.org/522503,XC522503-AB-211 lodówki OK (2) super (2).mp3
7,long-tailed duck,https://xeno-canto.org/522502/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jarek Matusiak,522502,//xeno-canto.org/522502,XC522502-AB-190  lodówki OK (2) Marysia.mp3
8,long-tailed duck,https://xeno-canto.org/514046/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Timo Janhonen,514046,//xeno-canto.org/514046,XC514046-Clahye_Zackenberg_183405jul2018.mp3
9,long-tailed duck,https://xeno-canto.org/501518/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jens Kirkeby,501518,//xeno-canto.org/501518,XC501518-jk190619-715 Havlit Edderfrugle.mp3
10,long-tailed duck,https://xeno-canto.org/488099/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stanislas Wroza,488099,//xeno-canto.org/488099,XC488099-2018-07-28 Myvatn - Laxa river 180728 Harelde boreale cris femelle.mp3
11,long-tailed duck,https://xeno-canto.org/487859/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stanislas Wroza,487859,//xeno-canto.org/487859,XC487859-2018-07-19 Reykholar - Brajanslaekur - Latrabajarg 180719 Harelde boreale femelle cri simple.mp3
