index,common_name,file,license,recordist,XC-number,stable_url,file-name
0,olive-sided flycatcher,https://xeno-canto.org/558343/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ron Overholtz,558343,//xeno-canto.org/558343,"XC558343-Olive-sided Flycatcher Contopus cooperi Lundy Canyon, Mono Co.CA 6-18-19.mp3"
1,olive-sided flycatcher,https://xeno-canto.org/476639/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Mark Nenadov,476639,//xeno-canto.org/476639,XC476639-OSFL-20190525-632-sadlers.mp3
2,olive-sided flycatcher,https://xeno-canto.org/692978/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jacob Wijpkema,692978,//xeno-canto.org/692978,XC692978-211206_4751.mp3
3,olive-sided flycatcher,https://xeno-canto.org/691636/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Christopher McPherson,691636,//xeno-canto.org/691636,XC691636-Olive-sided Flycatcher_31May2021_Lancy Brook Brookline NH.mp3
4,olive-sided flycatcher,https://xeno-canto.org/667264/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Bobby Wilcox,667264,//xeno-canto.org/667264,XC667264-210707_0096OSFL calls 15m Carson Range 0900 mp3 amp NR.mp3
5,olive-sided flycatcher,https://xeno-canto.org/660454/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Bobby Wilcox,660454,//xeno-canto.org/660454,XC660454-210628_0040OSFL 20m Mville 0630 mp3 amp.mp3
6,olive-sided flycatcher,https://xeno-canto.org/657764/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ron Overholtz,657764,//xeno-canto.org/657764,XC657764-Olive-sided Flycatcher Contopus cooperi  Agnew Meadows High Trail. Madera Co. Ca 6-18-2021mp3.mp3
7,olive-sided flycatcher,https://xeno-canto.org/656400/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Steve Hampton,656400,//xeno-canto.org/656400,XC656400-DR0000_1435 OSFL.mp3
8,olive-sided flycatcher,https://xeno-canto.org/623239/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Richard E. Webster,623239,//xeno-canto.org/623239,XC623239-FLYCATC_Oli-sid_s_trill nr Hannagan Mdw 2800m 053019 0530.mp3
9,olive-sided flycatcher,https://xeno-canto.org/558723/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Thomas G. Graves,558723,//xeno-canto.org/558723,"XC558723-6 Olive-sided Flycatcher, Cerro Alto, PMD, 5-14-20.mp3"
10,olive-sided flycatcher,https://xeno-canto.org/552581/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Thomas G. Graves,552581,//xeno-canto.org/552581,"XC552581-25 Olive-sided Flycatcher, Cerro Alto 4-25-20.mp3"
11,olive-sided flycatcher,https://xeno-canto.org/552580/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Thomas G. Graves,552580,//xeno-canto.org/552580,"XC552580-24 Olive-sided Flycatcher, Cerro Alto 4-25-20.mp3"
12,olive-sided flycatcher,https://xeno-canto.org/552579/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Thomas G. Graves,552579,//xeno-canto.org/552579,"XC552579-23 Olive-sided Flycatcher, Cerro Alto 4-25-20.mp3"
13,olive-sided flycatcher,https://xeno-canto.org/545524/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Johan Chaves,545524,//xeno-canto.org/545524,"XC545524-Olive sided Flycatcher, call.mp3"
14,olive-sided flycatcher,https://xeno-canto.org/534108/download,//creativecommons.org/licenses/by-nc-sa/4.0/,JAYRSON ARAUJO DE OLIVEIRA,534108,//xeno-canto.org/534108,XC534108-Piui boreal (Contopus cooperi-OK) 12-03-2020 7e6.mp3
15,olive-sided flycatcher,https://xeno-canto.org/534107/download,//creativecommons.org/licenses/by-nc-sa/4.0/,JAYRSON ARAUJO DE OLIVEIRA,534107,//xeno-canto.org/534107,XC534107-Piui boreal (Contopus cooperi-OK) 12-03-2020 7e1.mp3
16,olive-sided flycatcher,https://xeno-canto.org/534106/download,//creativecommons.org/licenses/by-nc-sa/4.0/,JAYRSON ARAUJO DE OLIVEIRA,534106,//xeno-canto.org/534106,XC534106-Piui boreal (Contopus cooperi-OK) 12-03-2020 6e50.mp3
17,olive-sided flycatcher,https://xeno-canto.org/534098/download,//creativecommons.org/licenses/by-nc-sa/4.0/,JAYRSON ARAUJO DE OLIVEIRA,534098,//xeno-canto.org/534098,XC534098-12-03-2020 6e58 Piui boreal HARAS NAO.mp3
18,olive-sided flycatcher,https://xeno-canto.org/509608/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Peter Ward,509608,//xeno-canto.org/509608,XC509608-01 Track 1_1.mp3
19,olive-sided flycatcher,https://xeno-canto.org/489328/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sunny,489328,//xeno-canto.org/489328,XC489328-190720_1386_OSFL.mp3
20,olive-sided flycatcher,https://xeno-canto.org/489326/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sunny,489326,//xeno-canto.org/489326,XC489326-190720_1380_OSFL.mp3
21,olive-sided flycatcher,https://xeno-canto.org/489325/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sunny,489325,//xeno-canto.org/489325,XC489325-190720_1378_OSFL.mp3
22,olive-sided flycatcher,https://xeno-canto.org/489324/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sunny,489324,//xeno-canto.org/489324,XC489324-190720_1377_OSFL.mp3
23,olive-sided flycatcher,https://xeno-canto.org/484154/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Sunny,484154,//xeno-canto.org/484154,XC484154-190624_1276_1278_OSFL.mp3
24,olive-sided flycatcher,https://xeno-canto.org/443464/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ed Pandolfino,443464,//xeno-canto.org/443464,XC443464-OSFLYs_FrsthlDivRd_PLA_6-26-17_0710.mp3
25,olive-sided flycatcher,https://xeno-canto.org/442325/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Ed Pandolfino,442325,//xeno-canto.org/442325,XC442325-OLSIFLs_nAntelopeLk_PLU_6-13-17_0659.mp3
26,olive-sided flycatcher,https://xeno-canto.org/416924/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Jeff Dyck,416924,//xeno-canto.org/416924,XC416924-2018-05-25 - British Columbia - Prince George - MIXPRE-014 - Olive-sided Flycatcher.mp3
27,olive-sided flycatcher,https://xeno-canto.org/364206/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Lelis Navarrete,364206,//xeno-canto.org/364206,XC364206-65.122.01.Olive-sided_Flycatcher.mp3
28,olive-sided flycatcher,https://xeno-canto.org/348134/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Richard E. Webster,348134,//xeno-canto.org/348134,XC348134-FLYCATC_Oli-sid majorinus SSPM 2300m 061501 0630.mp3
29,olive-sided flycatcher,https://xeno-canto.org/348133/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Richard E. Webster,348133,//xeno-canto.org/348133,XC348133-FLYCATC_Oli-sid majorinus SSPM 1700m 061401 1630.mp3
30,olive-sided flycatcher,https://xeno-canto.org/348132/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Richard E. Webster,348132,//xeno-canto.org/348132,XC348132-FLYCATC_Oli-sid 2nd majorinus SSPM 1700m 061401 1630.mp3
31,olive-sided flycatcher,https://xeno-canto.org/298680/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Paul Marvin,298680,//xeno-canto.org/298680,"XC298680-Olive-sided Flycatcher presummed -CA, Pine Creek Rd, Mt Laguna, May 09, 2013, 1253 PM.mp3"
32,olive-sided flycatcher,https://xeno-canto.org/298217/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Paul Marvin,298217,//xeno-canto.org/298217,"XC298217-Olive-sided Flycatcher -CA, Pine Creek Rd, Mt Laguna area, April 29, 2015, 0904 AM.mp3"
33,olive-sided flycatcher,https://xeno-canto.org/268856/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Richard E. Webster,268856,//xeno-canto.org/268856,XC268856-FLYCATC_Oli-sid_c_migrant SBNWR 1100m 051715 1002.mp3
34,olive-sided flycatcher,https://xeno-canto.org/260932/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Mitch Lysinger,260932,//xeno-canto.org/260932,XC260932-65.122.03.Olive-sided_Flycatcher.mp3
35,olive-sided flycatcher,https://xeno-canto.org/257111/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Daniel F. Lane,257111,//xeno-canto.org/257111,XC257111-65.122.02.Olive-sided_Flycatcher.mp3
36,olive-sided flycatcher,https://xeno-canto.org/252004/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Doug Hynes,252004,//xeno-canto.org/252004,XC252004-OSFL_WBER_R.mp3
37,olive-sided flycatcher,https://xeno-canto.org/239504/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Lance A. M. Benner,239504,//xeno-canto.org/239504,XC239504-LS102277.olive.sided.flycatcher.benner.2015apr30.mp3
38,olive-sided flycatcher,https://xeno-canto.org/239498/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Lance A. M. Benner,239498,//xeno-canto.org/239498,XC239498-LS102279.olive.sided.flycatcher.mouq.stja.webl.benner.2015apr30.mp3
39,olive-sided flycatcher,https://xeno-canto.org/216606/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Cedric MROCZKO,216606,//xeno-canto.org/216606,XC216606-150211_23.mp3
40,olive-sided flycatcher,https://xeno-canto.org/207797/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Davyd Betchkal,207797,//xeno-canto.org/207797,"XC207797-DENALMCR_20130607_052814 Olive-sided Flycatcher, Lincoln's Sparrow, Greater Yellowlegs.mp3"
41,olive-sided flycatcher,https://xeno-canto.org/186316/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Martin St-Michel,186316,//xeno-canto.org/186316,XC186316-Olive-sided Flycatcher (Parc national des Grands-Jardins-2014-06-08-09h12) LS113170.mp3
42,olive-sided flycatcher,https://xeno-canto.org/136024/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Brian Sullivan,136024,//xeno-canto.org/136024,XC136024-OSFL_Chews_Ridge_6-1-2013-1.mp3
43,olive-sided flycatcher,https://xeno-canto.org/132926/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Thomas G. Graves,132926,//xeno-canto.org/132926,XC132926-04Olv-sdFlyctrCerroAlto050413.mp3
